ProdBarcode|Production|Has Inspection|In Kwesna|Qty Calc|Qty Started|Ended QTY|Item number|Name|Mark To Print|Project|Color|Site|Warehouse|Batch number|Status|Remain status|Batch Number 2|Pool|Quality order status|Finished|FinishedRouteDate|Transfer To Qwesna Date|RGBColor|RealWhieght|ProductionPCT|ProductionPCTRoute|Route Start|Prodoction QTY Status|Weight Packing|Created date and time|Estimated|Scheduled|Started|Reported as finished|Ended|Reference type|Reference number|Reference lot
00268607|00268607_100|No|No|804.00|804.00|824.00|60805|بولستر تطريز 2/120 5000 ياردة-N|No||P0110|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|No|||13414360.00|103.00|8.01|8.01|10/3/2025|None|102.91|9/29/2025 19:12|9/29/2025|9/29/2025|1/10/2025|10/9/2025|10/9/2025|||
00268608|00268608_100|No|Yes|515.00|515.00|550.00|60141|TUR-FIL 45/2 5000y|No||4434|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 1:55|10/2/2025|2498841.00|68.06|8.09|8.09|1/10/2025|None|67.98|9/29/2025 19:13|9/29/2025|9/29/2025|1/10/2025|10/2/2025|10/2/2025|Sales order|00205157_055|14941214_085
00268639|00268639_100|No|Yes|526.00|526.00|550.00|60141|TUR-FIL 45/2 5000y|No||4434|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 2:19|10/2/2025|2498841.00|69.56|7.92|7.92|1/10/2025|None|69.43|9/29/2025 19:20|9/29/2025|9/29/2025|1/10/2025|10/2/2025|10/2/2025|Sales order|00205157_055|14941214_085
00268640|00268640_100|No|Yes|523.00|523.00|547.00|60141|TUR-FIL 45/2 5000y|No||4434|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 23:58|10/2/2025|2498841.00|69.06|7.92|7.75|1/10/2025|None|69.04|9/29/2025 19:20|9/29/2025|9/29/2025|1/10/2025|10/5/2025|10/5/2025|Sales order|00205157_055|14941214_085
00268641|00268641_100|No|Yes|515.00|515.00|526.00|60141|TUR-FIL 45/2 5000y|No||4434|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 18:21|10/2/2025|2498841.00|68.06|7.74|7.74|1/10/2025|None|67.98|9/29/2025 19:20|9/29/2025|9/29/2025|1/10/2025|10/5/2025|10/5/2025|Sales order|00205157_055|14941214_085
00268642|00268642_100|No|Yes|515.00|515.00|520.00|60141|TUR-FIL 45/2 5000y|No||4434|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 8:30|10/2/2025|2498841.00|68.06|7.65|7.65|1/10/2025|None|67.98|9/29/2025 19:20|9/29/2025|9/29/2025|1/10/2025|10/3/2025|10/3/2025|Sales order|00205157_055|14941214_085
00268643|00268643_100|No|Yes|515.00|515.00|532.00|60141|TUR-FIL 45/2 5000y|No||4434|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/3/2025 1:58|10/2/2025|2498841.00|68.06|7.83|7.83|1/10/2025|None|67.98|9/29/2025 19:20|9/29/2025|9/29/2025|1/10/2025|10/5/2025|10/5/2025|Sales order|00205157_055|14941214_085
00268645|00268645_100|No|Yes|527.00|527.00|528.00|60141|TUR-FIL 45/2 5000y|No||4434|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|1/10/2025 22:08|10/2/2025|2498841.00|69.62|7.59|7.59|1/10/2025|None|69.56|9/29/2025 19:20|9/29/2025|9/29/2025|1/10/2025|10/2/2025|10/2/2025|Sales order|00205157_055|14941214_085
00268646|00268646_100|No|Yes|527.00|527.00|550.00|60141|TUR-FIL 45/2 5000y|No||4434|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/3/2025 1:56|10/2/2025|2498841.00|69.62|7.91|7.91|1/10/2025|None|69.56|9/29/2025 19:20|9/29/2025|9/29/2025|1/10/2025|10/5/2025|10/5/2025|Sales order|00205157_055|14941214_085
00268647|00268647_100|No|Yes|530.00|530.00|532.00|60141|TUR-FIL 45/2 5000y|No||4434|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 7:25|10/2/2025|2498841.00|70.06|7.63|7.80|1/10/2025|None|69.72|9/29/2025 19:20|9/29/2025|9/29/2025|1/10/2025|10/3/2025|10/3/2025|Sales order|00205157_055|14941214_085
00268683|00268683_100|No|Yes|992.00|992.00|1005.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/5/2025 16:04|10/2/2025|1841942.00|193.32|7.19|7.19|10/3/2025|None|139.87|9/30/2025 1:15|9/30/2025|9/30/2025|1/10/2025|10/9/2025|10/9/2025|||
00268684|00268684_100|No|Yes|981.00|981.00|997.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/4/2025 23:46|10/2/2025|1841942.00|191.82|7.21|7.21|10/3/2025|None|138.32|9/30/2025 1:29|9/30/2025|9/30/2025|1/10/2025|10/5/2025|10/9/2025|||
00268685|00268685_100|No|Yes|966.00|966.00|966.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/12/2025 13:53|10/2/2025|1841942.00|190.74|7.09|7.09|10/3/2025|None|136.21|9/30/2025 1:29|9/30/2025|9/30/2025|1/10/2025|10/13/2025|10/13/2025|||
00268686|00268686_100|No|Yes|974.00|974.00|960.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/4/2025 23:48|10/2/2025|1841942.00|189.82|6.99|6.99|10/3/2025|None|137.33|9/30/2025 1:29|9/30/2025|9/30/2025|1/10/2025|10/5/2025|10/9/2025|||
00268690|00268690_100|No|Yes|974.00|974.00|980.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/4/2025 7:31|10/2/2025|1841942.00|190.74|7.14|7.14|10/3/2025|None|137.33|9/30/2025 1:29|9/30/2025|9/30/2025|1/10/2025|10/5/2025|10/5/2025|||
00268692|00268692_100|No|Yes|974.00|974.00|960.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/4/2025 7:48|10/2/2025|1841942.00|190.18|6.99|6.99|10/3/2025|None|137.33|9/30/2025 1:29|9/30/2025|9/30/2025|1/10/2025|10/5/2025|10/9/2025|||
00268693|00268693_100|No|Yes|931.00|931.00|909.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/4/2025 7:51|10/2/2025|1841942.00|183.12|6.92|6.92|10/4/2025|None|131.27|9/30/2025 1:29|9/30/2025|9/30/2025|1/10/2025|10/5/2025|10/9/2025|||
00268694|00268694_100|No|Yes|936.00|936.00|963.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/6/2025 7:58|10/2/2025|1841942.00|184.80|7.30|7.30|10/4/2025|None|131.98|9/30/2025 1:29|9/30/2025|9/30/2025|1/10/2025|10/10/2025|10/10/2025|||
00268696|00268696_100|No|Yes|930.00|930.00|960.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/3/2025 17:41|10/2/2025|1841942.00|191.66|7.32|7.32|10/3/2025|None|131.13|9/30/2025 1:30|1/10/2025|1/10/2025|1/10/2025|10/5/2025|10/5/2025|||
00268697|00268697_100|No|Yes|1027.00|1027.00|1047.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/3/2025 17:13|10/2/2025|1841942.00|205.14|7.23|7.23|10/2/2025|None|144.81|9/30/2025 1:30|9/30/2025|9/30/2025|1/10/2025|10/4/2025|10/4/2025|||
00268698|00268698_100|No|Yes|1007.00|1007.00|1005.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 11:41|10/2/2025|1841942.00|202.20|7.08|7.08|1/10/2025|None|141.99|9/30/2025 1:30|9/30/2025|9/30/2025|1/10/2025|10/5/2025|10/9/2025|||
00268699|00268699_100|No|Yes|1021.00|1021.00|1018.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/4/2025 10:43|10/2/2025|1841942.00|214.22|7.07|7.07|10/2/2025|None|143.96|9/30/2025 1:30|9/30/2025|9/30/2025|1/10/2025|10/5/2025|10/9/2025|||
00268700|00268700_100|No|Yes|1016.00|1016.00|1040.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/3/2025 13:42|10/2/2025|1841942.00|205.18|7.26|7.26|1/10/2025|None|143.26|9/30/2025 1:30|9/30/2025|9/30/2025|1/10/2025|10/4/2025|10/4/2025|||
00268701|00268701_100|No|Yes|1017.00|1017.00|1040.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام||Yes|10/2/2025 19:18|10/2/2025|1841942.00|203.70|7.25|7.25|10/2/2025|None|143.40|9/30/2025 1:30|9/30/2025|9/30/2025|1/10/2025|10/3/2025|10/3/2025|||
00268702|00268702_100|No|Yes|1039.00|1039.00|1056.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/3/2025 16:46|10/2/2025|1841942.00|206.70|7.21|7.21|10/2/2025|None|146.50|9/30/2025 1:30|9/30/2025|9/30/2025|1/10/2025|10/4/2025|10/4/2025|||
00268703|00268703_100|No|Yes|1024.00|1024.00|1060.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/5/2025 19:01|10/2/2025|1841942.00|203.70|7.34|7.34|10/4/2025|None|144.38|9/30/2025 1:30|9/30/2025|9/30/2025|1/10/2025|10/9/2025|10/9/2025|||
00268704|00268704_100|No|Yes|1028.00|1028.00|1040.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 15:50|10/2/2025|1841942.00|206.22|7.17|7.17|1/10/2025|None|144.95|9/30/2025 1:30|9/30/2025|9/30/2025|1/10/2025|10/3/2025|10/3/2025|||
00268705|00268705_100|No|Yes|1031.00|1031.00|1038.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/3/2025 12:42|10/2/2025|1841942.00|204.70|7.14|7.14|10/2/2025|None|145.37|9/30/2025 1:30|9/30/2025|9/30/2025|1/10/2025|10/4/2025|10/4/2025|||
00268723|00268723_100|No|No|510.00|510.00|504.00|60628|عمبر 1/150 - 2/1 كجم|No||1002|Obour|10|1|Ended|Ended||منتج تام||No|||0.00|0.00|0.99|0.99|10/2/2025|None|510.00|1/10/2025 7:54|1/10/2025|1/10/2025|1/10/2025|10/10/2025|10/10/2025|||
00268725|00268725_100|No|No|1890.00|1890.00|1890.00|60628|عمبر 1/150 - 2/1 كجم|No||1002|Obour|10|1|Ended|Ended||منتج تام||No|||0.00|0.00|1.00|1.00|10/2/2025|None|1890.00|1/10/2025 8:08|1/10/2025|1/10/2025|1/10/2025|10/10/2025|10/10/2025|||
00268726|00268726_100|No|No|227.00|227.00|235.00|60116|نجمة 2/40 - 5000 متر|No||442|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|No|||14003071.00|31.80|7.53|7.53|1/10/2025|None|31.20|1/10/2025 8:11|1/10/2025|1/10/2025|1/10/2025|10/2/2025|10/2/2025|||
00268727|00268727_100|No|No|82.00|82.00|79.00|60116|نجمة 2/40 - 5000 متر|No||505|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|No|||2113913.00|11.60|6.88|6.88|1/10/2025|None|11.48|1/10/2025 8:12|1/10/2025|1/10/2025|1/10/2025|10/3/2025|10/10/2025|||
00268728|00268728_100|No|No|90.00|90.00|80.00|60116|نجمة 2/40 - 5000 متر|No||505|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|No|||2113913.00|12.60|6.63|6.63|1/10/2025|None|12.07|1/10/2025 8:13|1/10/2025|1/10/2025|1/10/2025|10/3/2025|10/10/2025|||
00268729|00268729_100|No|No|500.00|570.00|572.53|52145|تحت التشغيل - مصبوغ 45/2|Yes||112|Obour|45||Ended|Ended||مصبوغ||No|||6578269.00|0.00|100.44|0.00|10/4/2025|None|570.00|1/10/2025 8:15|1/10/2025|1/10/2025|1/10/2025|10/12/2025|10/12/2025|||
00268730|00268730_100|No|No|500.00|570.00|572.53|52145|تحت التشغيل - مصبوغ 45/2|Yes||112|Obour|45||Ended|Ended||مصبوغ||No|||6578269.00|0.00|100.44|0.00|9/29/2025|None|570.00|1/10/2025 8:16|1/10/2025|1/10/2025|1/10/2025|10/12/2025|10/12/2025|||
00268731|00268731_100|No|No|350.00|304.96|303.96|52040|تحت التشغيل - مصبوغ بوليستر تطريز 120/ 2|Yes||P0500|Obour|45||Ended|Ended||مصبوغ||No|||16769498.00|0.00|99.67|0.00|10/4/2025|None|304.96|1/10/2025 8:18|1/10/2025|1/10/2025|1/10/2025|10/12/2025|10/12/2025|||
00268732|00268732_100|No|No|87.00|87.00|79.00|60141|TUR-FIL 45/2 5000y|No||4467|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|No|||7092648.00|11.60|6.88|6.88|1/10/2025|None|11.48|1/10/2025 8:19|1/10/2025|1/10/2025|1/10/2025|10/3/2025|10/10/2025|Sales order|00192002_055|13933411_085
00268733|00268733_100|No|No|82.00|82.00|81.00|60116|نجمة 2/40 - 5000 متر|No||218|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|No|||7953214.00|11.60|7.06|7.06|1/10/2025|None|11.48|1/10/2025 8:20|1/10/2025|1/10/2025|1/10/2025|10/3/2025|10/10/2025|||
00268734|00268734_100|No|No|70.00|70.00|70.00|60925|جينز 20/3 - 2000 ياردة|No||343|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|No|||9465414.00|11.60|6.31|6.40|1/10/2025|None|11.10|1/10/2025 8:21|1/10/2025|1/10/2025|1/10/2025|10/2/2025|10/2/2025|Sales order|00204991_055|14921042_085
00268735|00268735_100|No|No|79.00|79.00|78.00|60116|نجمة 2/40 - 5000 متر|No||547|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|No|||6828328.00|11.10|7.05|7.14|1/10/2025|None|11.06|1/10/2025 8:22|1/10/2025|1/10/2025|1/10/2025|10/3/2025|10/10/2025|||
00268736|00268736_100|No|No|82.00|82.00|81.00|60116|نجمة 2/40 - 5000 متر|No||514|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|No|||5785136.00|11.60|7.06|7.06|1/10/2025|None|11.48|1/10/2025 8:23|1/10/2025|1/10/2025|1/10/2025|10/3/2025|10/10/2025|||
00268737|00268737_100|No|Yes|143.00|143.00|130.00|60916|جينز 2/22 - 3000 ياردة|No||181|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 12:00|10/2/2025|8551033.00|23.00|5.68|5.68|10/2/2025|None|22.88|1/10/2025 8:24|1/10/2025|1/10/2025|1/10/2025|10/11/2025|10/11/2025|Sales order|00186350_055|13524571_085
00268740|00268740_100|No|No|66.00|66.00|64.00|60916|جينز 2/22 - 3000 ياردة|No||16765|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|No|||8551529.00|10.60|6.06|6.06|1/10/2025|None|10.56|1/10/2025 8:24|1/10/2025|1/10/2025|1/10/2025|10/10/2025|10/10/2025|||
00268743|00268743_100|No|No|82.00|82.00|83.00|60805|بولستر تطريز 2/120 5000 ياردة-N|No||P9084|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|No|||3818834.00|10.60|7.91|7.91|1/10/2025|None|10.50|1/10/2025 8:25|1/10/2025|1/10/2025|1/10/2025|10/3/2025|10/3/2025|||
00268744|00268744_100|No|Yes|109.00|109.00|103.00|60921|جينز 2/22 - 5000 متر|No||SN9962|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 0:50|10/2/2025|4473920.00|31.30|3.32|3.32|1/10/2025|None|31.07|1/10/2025 8:25|1/10/2025|1/10/2025|1/10/2025|10/10/2025|10/10/2025|||
00268745|00268745_100|No|Yes|684.00|684.00|773.00|60916|جينز 2/22 - 3000 ياردة|No||256|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/3/2025 21:16|10/2/2025|3352091.00|214.00|7.06|7.07|10/2/2025|None|109.44|1/10/2025 8:27|1/10/2025|1/10/2025|1/10/2025|10/10/2025|10/10/2025|||
00268747|00268747_100|No|Yes|684.00|684.00|673.00|60916|جينز 2/22 - 3000 ياردة|No||256|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 13:29|10/2/2025|3352091.00|109.50|6.17|6.18|10/2/2025|None|109.14|1/10/2025 8:27|1/10/2025|1/10/2025|1/10/2025|10/11/2025|10/11/2025|||
00268748|00268748_100|No|No|108000.00|108000.00|108000.00|207005|كون أزرق بشفـة|No|||Obour|2||Ended|Ended||بلاستيك||No|||0.00|0.00|0.00|0.00||None|0.00|1/10/2025 8:31|1/10/2025|1/10/2025|1/10/2025|9/30/2025|9/30/2025|||
00268750|00268750_100|No|Yes|129.00|129.00|146.00|60919|جينز 3/20 - 3000 متر|No||SN9962|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 2:52|10/2/2025|4473920.00|32.30|4.53|4.56|10/2/2025|None|32.25|1/10/2025 8:33|1/10/2025|1/10/2025|1/10/2025|10/10/2025|10/10/2025|Sales order|00202711_055|14754023_085
00268752|00268752_100|No|No|67000.00|67000.00|67000.00|207024|كون  تركيا|No|||Obour|2||Ended|Ended||بلاستيك||No|||0.00|0.00|0.00|0.00||None|0.00|1/10/2025 8:36|1/10/2025|1/10/2025|1/10/2025|9/30/2025|9/30/2025|||
00268753|00268753_100|No|No|500.00|428.42|411.36|52009|تحت التشغيل - مصبوغ 1/150|Yes||1100|Obour|45|1|Ended|Ended||مصبوغ||No|||10595754.00|0.00|96.02|0.00|10/5/2025|None|428.42|1/10/2025 8:36|1/10/2025|1/10/2025|1/10/2025|10/12/2025|10/12/2025|||
00268754|00268754_100|No|No|500.00|515.02|497.63|52009|تحت التشغيل - مصبوغ 1/150|Yes||1240|Obour|45|1|Ended|Ended||مصبوغ||No|||7945489.00|0.00|96.62|0.00|10/5/2025|None|515.02|1/10/2025 8:36|1/10/2025|1/10/2025|1/10/2025|10/12/2025|10/12/2025|||
00268756|00268756_100|No|No|3600.00|3600.00|3600.00|207016|كون عنبر 17 سم  اسود|No|||Obour|2||Ended|Ended||بلاستيك||No|||0.00|0.00|0.00|0.00||None|0.00|1/10/2025 8:38|1/10/2025|1/10/2025|1/10/2025|9/30/2025|9/30/2025|||
00268757|00268757_100|No|No|192.00|207.39|207.83|52002|تحت التشغبل مصبوغ 20/3|Yes||217|Obour|45||Ended|Ended||مصبوغ||No|||3819565.00|0.00|100.21|100.00|1/10/2025|None|207.39|1/10/2025 8:37|1/10/2025|1/10/2025|1/10/2025|10/3/2025|10/10/2025|Production line|00269409_100|15063907_085
00268758|00268758_100|No|No|7800.00|7800.00|7800.00|207037|كون شيزه صباغه 6بوصة شفاف|No|||Obour|2||Ended|Ended||بلاستيك||No|||0.00|0.00|0.00|0.00||None|0.00|1/10/2025 8:39|1/10/2025|1/10/2025|1/10/2025|9/30/2025|9/30/2025|||
00268760|00268760_100|No|No|6100.00|6100.00|6100.00|207114|كون شيزه صباغه 6بوصة كموني|No|||Obour|2||Ended|Ended||بلاستيك||No|||0.00|0.00|0.00|0.00||None|0.00|1/10/2025 8:41|1/10/2025|1/10/2025|1/10/2025|9/30/2025|9/30/2025|||
00268761|00268761_100|No|No|33.00|33.80|36.82|52040|تحت التشغيل - مصبوغ بوليستر تطريز 120/ 2|Yes||P0702|Obour|45||Ended|Ended||مصبوغ||No|||2497448.00|0.00|102.85|94.58|10/4/2025|None|35.80|1/10/2025 8:41|1/10/2025|1/10/2025|1/10/2025|10/4/2025|10/10/2025|Production line|00270231_100|15100897_085
00268763|00268763_100|No|No|120000.00|120000.00|120000.00|207005|كون أزرق بشفـة|No|||Obour|2||Ended|Ended||بلاستيك||No|||0.00|0.00|0.00|0.00||None|0.00|1/10/2025 8:44|1/10/2025|1/10/2025|1/10/2025|9/30/2025|9/30/2025|||
00268764|00268764_100|No|Yes|614.00|614.00|645.00|60925|جينز 20/3 - 2000 ياردة|No||139|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/3/2025 12:30|10/2/2025|8559016.00|101.36|6.34|6.35|10/3/2025|None|101.69|1/10/2025 8:44|1/10/2025|1/10/2025|1/10/2025|10/10/2025|10/10/2025|||
00268765|00268765_100|No|No|500.00|571.42|572.53|52005|تحت التشغيل - مصبوغ 2/20|Yes||458|Obour|45||Ended|Ended||مصبوغ||No|||6652049.00|0.00|100.19|100.00|1/10/2025|None|571.42|1/10/2025 8:44|1/10/2025|1/10/2025|1/10/2025|10/12/2025|10/12/2025|Production line|00269797_100|15078119_085
00268766|00268766_100|No|No|225.20|217.92|217.92|52005|تحت التشغيل - مصبوغ 2/20|Yes||528|Obour|45||Ended|Ended||مصبوغ||No|||3495021.00|0.00|0.00|0.00|10/2/2025|None|0.00|1/10/2025 8:45|1/10/2025|1/10/2025|1/10/2025|10/2/2025|10/2/2025|Production line|00269417_100|15064002_085
00268768|00268768_100|No|No|72.00|72.00|1.00|60116|نجمة 2/40 - 5000 متر|No||288|Obour|10|1|Ended|Ended||منتج تام||No|||9606718.00|10.10|0.40|0.00|11/12/2025|None|2.50|1/10/2025 8:50|1/10/2025|1/10/2025|1/10/2025|11/12/2025|11/12/2025|||
00268770|00268770_100|No|No|11.20|16.42|16.42|52145|تحت التشغيل - مصبوغ 45/2|Yes||15720|Obour|45||Ended|Ended||مصبوغ||No|||7304298.00|0.00|100.00|0.00|10/4/2025|None|16.42|1/10/2025 9:03|1/10/2025|1/10/2025|1/10/2025|10/17/2025|10/17/2025|||
00268771|00268771_100|No|Yes|1039.00|1039.00|1020.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/9/2025 14:05|10/2/2025|1841942.00|146.50|6.96|6.96|10/5/2025|None|146.50|1/10/2025 9:11|1/10/2025|1/10/2025|1/10/2025|10/15/2025|10/15/2025|||
00268772|00268772_100|No|Yes|1017.00|1017.00|1030.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/15/2025 20:02|10/2/2025|1841942.00|143.50|7.18|7.18|10/14/2025|None|143.40|1/10/2025 9:11|1/10/2025|1/10/2025|1/10/2025|10/17/2025|10/17/2025|||
00268773|00268773_100|No|Yes|1122.00|1122.00|1120.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/3/2025 20:44|10/2/2025|1841942.00|158.26|7.08|7.08|1/10/2025|None|158.20|1/10/2025 9:11|1/10/2025|1/10/2025|1/10/2025|10/10/2025|10/10/2025|||
00268775|00268775_100|No|Yes|1024.00|1024.00|1054.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/15/2025 19:57|10/2/2025|1841942.00|144.50|7.30|7.30|10/14/2025|None|144.38|1/10/2025 9:11|1/10/2025|1/10/2025|1/10/2025|10/17/2025|10/17/2025|||
00268776|00268776_100|No|Yes|1031.00|1031.00|1020.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 21:27|10/2/2025|1841942.00|145.50|7.02|7.02|1/10/2025|None|145.37|1/10/2025 9:11|1/10/2025|1/10/2025|1/10/2025|10/15/2025|10/15/2025|||
00268777|00268777_100|No|No|128.00|128.00|128.00|60701|تعاون بوليستر 500 متر جديد|No||2|Obour|10|1|Ended|Ended||منتج تام||No|||1841942.00|0.00|5.10|5.10|1/10/2025|None|25.09|1/10/2025 9:16|1/10/2025|1/10/2025|1/10/2025|10/3/2025|10/10/2025|||
00268779|00268779_100|No|No|75.00|52.01|52.01|52145|تحت التشغيل - مصبوغ 45/2|Yes||177|Obour|45||Ended|Ended||مصبوغ||No|||7104658.00|0.00|100.00|100.00|1/10/2025|None|52.01|1/10/2025 9:18|1/10/2025|1/10/2025|1/10/2025|10/4/2025|10/10/2025|Production line|00269474_100|15066301_085
00268782|00268782_100|No|No|7800.00|7800.00|7800.00|207037|كون شيزه صباغه 6بوصة شفاف|No|||Obour|2||Ended|Ended||بلاستيك||No|||0.00|0.00|0.00|0.00||None|0.00|1/10/2025 9:20|1/10/2025|1/10/2025|1/10/2025|9/30/2025|9/30/2025|||
00268784|00268784_100|No|No|7300.00|7300.00|7300.00|207114|كون شيزه صباغه 6بوصة كموني|No|||Obour|2||Ended|Ended||بلاستيك||No|||0.00|0.00|0.00|0.00||None|0.00|1/10/2025 9:22|1/10/2025|1/10/2025|1/10/2025|9/30/2025|9/30/2025|||
00268785|00268785_100|No|Yes|916.00|916.00|934.00|60116|نجمة 2/40 - 5000 متر|No||16854|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/3/2025 7:14|10/2/2025|6441360.00|128.36|7.28|7.29|10/3/2025|None|128.24|1/10/2025 9:36|1/10/2025|1/10/2025|1/10/2025|10/10/2025|10/10/2025|Sales order|00205028_055|14920502_085
00268786|00268786_100|No|Yes|992.00|992.00|1020.00|60116|نجمة 2/40 - 5000 متر|No||15149|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 23:45|10/2/2025|9671103.00|138.96|7.39|7.39|10/2/2025|None|138.02|1/10/2025 9:37|1/10/2025|1/10/2025|1/10/2025|10/10/2025|10/10/2025|Sales order|00205603_055|14973375_085
00268787|00268787_100|No|No|72.00|72.00|80.00|60116|نجمة 2/40 - 5000 متر|No||516|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|No|||3949601.00|10.10|7.94|7.94|1/10/2025|None|10.08|1/10/2025 9:38|1/10/2025|1/10/2025|1/10/2025|10/2/2025|10/2/2025|||
00268788|00268788_100|No|No|400.00|360.20|360.20|52145|تحت التشغيل - مصبوغ 45/2|Yes||100|Obour|45||Ended|Ended||مصبوغ||No|||12366501.00|0.00|100.00|100.00|1/10/2025|None|360.20|1/10/2025 9:44|1/10/2025|1/10/2025|1/10/2025|10/12/2025|10/12/2025|||
00268790|00268790_100|No|Yes|1052.00|1052.00|1072.00|60141|TUR-FIL 45/2 5000y|No||4460|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/4/2025 22:05|10/2/2025|2236184.00|138.96|7.74|7.74|10/3/2025|None|138.46|1/10/2025 9:50|1/10/2025|1/10/2025|1/10/2025|10/10/2025|10/10/2025|||
00268791|00268791_100|No|No|130.00|112.69|112.69|52145|تحت التشغيل - مصبوغ 45/2|Yes||456|Obour|45||Ended|Ended||مصبوغ||No|||5066105.00|0.00|100.00|0.00|10/2/2025|None|112.69|1/10/2025 9:50|1/10/2025|1/10/2025|1/10/2025|10/2/2025|10/2/2025|||
